intent,question,answer
borrow_book,how do i borrow a book,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,what is the process to borrow a book,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,how can i loan a book from the library,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,steps to borrow a book,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,how does book borrowing work here,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,can you explain how to borrow books,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,how do i check out a book,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,what do i need to do to borrow a book,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,how to loan out a book,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,explain the borrowing process pls,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,how do students borrow books here,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_book,what's the procedure for borrowing books,"To borrow a book, bring your student ID to the Service Counter on Level G, present the book you want to borrow, and the librarian will scan and issue it to you."
borrow_quantity,how many books can i borrow,You can borrow up to 5 books at a time as a student.
borrow_quantity,what's the max number of books i can loan,You can borrow up to 5 books at a time as a student.
borrow_quantity,is there a limit on how many books i can borrow,You can borrow up to 5 books at a time as a student.
borrow_quantity,how many books am i allowed to borrow at once,You can borrow up to 5 books at a time as a student.
borrow_quantity,maximum book borrowing limit for students,You can borrow up to 5 books at a time as a student.
borrow_quantity,can i borrow more than 5 books,You can borrow up to 5 books at a time as a student.
borrow_quantity,how many items can i check out,You can borrow up to 5 books at a time as a student.
borrow_quantity,what's the borrowing limit here,You can borrow up to 5 books at a time as a student.
borrow_quantity,how many books allowed per student,You can borrow up to 5 books at a time as a student.
borrow_quantity,is there a cap on books i can borrow,You can borrow up to 5 books at a time as a student.
borrow_quantity,max books i can take out at once,You can borrow up to 5 books at a time as a student.
