subject_keyword,ddc_number,floor_level
Accounting,657,2A
Advertising,659.1,2A
Algebra,512,1
Architecture,720,2A
Banks,332.1,1A
Biology,570,1
Broadcasting,70.19,1A
Building,690,2A
Business,650,2A
Calculus,515,1
Catering,642.4,2A
Chemistry,540,1
Computer programming,5,1A
Computer science,4,1A
Computer systems,3,1A
Counselling,158.3,1A
Economics,330,1A
Electrical engineering,621.3,1
Electronics engineering,621.381,1
Engineering,620,1
Engineering mathematics,510.2462,1
English,420,1A
Entrepreneurship,658.421,2A
Event management,394.2,1A
Fashion design,746.92,2A
Financial economics,332,1A
Food and drink,641,2A
Food science,664,2A
Food services,647.95,2A
Graphic design,741.6,2A
Hospitality industry,647.94,2A
Human anatomy,612,1
Physiology,612,1
Human resource management,658.3,2A
Information technology,4,1A
International economics,337,1A
Internet,4.678,1A
Investment,332.6,1A
Journalism,70.4,1A
Law,340,1A
Logistics,658.5,2A
Macroeconomics,339,1A
Management,658,2A
Management materials,658.7,2A
Manufacturing,670,2A
Marketing,658.8,2A
Materials,620.11,1
Mathematics,510,1
Mechanical engineering mechatronics,621,1
Media,302.23,1A
Microeconomics,338.5,1A
multimedia systems,6.7,1A
Nutrition,613.2,1
Physical fitness,613.7,1
Physics,530,1
Psychology,150,1A
Public relations,659.2,2A
Quantity surveying,692.5,2A
Real estate,333.3,1A
Statistics,519.5,1
Tourism,338.4791,1A
